park,team,source_year,spray_zone5,fence_distance_ft,fence_height_ft,distance_source_column,height_source_column,value_method,height_status,usable_for_hr_detector,source_name,source_url,notes
Citi Field,NYM,2025,left_gap,373.0,8.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=NYC20,
Citi Field,NYM,2025,center,408.0,11.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=NYC20,
Citi Field,NYM,2025,right_gap,384.0,18.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=NYC20,
Citi Field,NYM,2025,right_line,330.0,8.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=NYC20,
Comerica Park,DET,2025,left_line,345.0,6.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=DET05,
Comerica Park,DET,2025,left_gap,398.0,8.5,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=DET05,
Comerica Park,DET,2025,center,420.0,8.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=DET05,
Comerica Park,DET,2025,right_gap,403.0,14.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=DET05,
Comerica Park,DET,2025,right_line,330.0,8.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=DET05,
Daikin Park,HOU,2025,left_line,315.0,21.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=HOU03,Seamheads page name is Minute Maid Park; current naming in app can be Daikin Park.
Daikin Park,HOU,2025,left_gap,390.0,25.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=HOU03,Seamheads page name is Minute Maid Park; current naming in app can be Daikin Park.
Daikin Park,HOU,2025,center,409.0,9.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=HOU03,Seamheads page name is Minute Maid Park; current naming in app can be Daikin Park.
Daikin Park,HOU,2025,right_gap,397.0,9.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=HOU03,Seamheads page name is Minute Maid Park; current naming in app can be Daikin Park.
Daikin Park,HOU,2025,right_line,326.0,7.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=HOU03,Seamheads page name is Minute Maid Park; current naming in app can be Daikin Park.
Dodger Stadium,LAD,2025,left_line,330.0,4.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=LOS03,
Dodger Stadium,LAD,2025,left_gap,385.0,8.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=LOS03,
Dodger Stadium,LAD,2025,center,400.0,8.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=LOS03,
Dodger Stadium,LAD,2025,right_gap,385.0,8.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=LOS03,
Dodger Stadium,LAD,2025,right_line,330.0,4.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=LOS03,
Fenway Park,BOS,2025,left_line,310.0,37.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=BOS07,
Fenway Park,BOS,2025,left_gap,379.0,18.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=BOS07,
Fenway Park,BOS,2025,center,390.0,9.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=BOS07,
Fenway Park,BOS,2025,right_gap,383.0,5.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=BOS07,
Fenway Park,BOS,2025,right_line,302.0,3.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=BOS07,
Globe Life Field,TEX,2025,left_line,329.0,8.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ARL03,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Globe Life Field,TEX,2025,left_gap,372.0,8.0,LFA_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ARL03,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Globe Life Field,TEX,2025,center,407.0,8.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ARL03,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Globe Life Field,TEX,2025,right_gap,374.0,8.0,RFA_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ARL03,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Globe Life Field,TEX,2025,right_line,326.0,8.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ARL03,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Great American Ball Park,CIN,2025,left_line,328.0,12.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CIN09,
Great American Ball Park,CIN,2025,left_gap,379.0,12.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CIN09,
Great American Ball Park,CIN,2025,center,404.0,8.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CIN09,
Great American Ball Park,CIN,2025,right_gap,370.0,8.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CIN09,
Great American Ball Park,CIN,2025,right_line,325.0,8.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CIN09,
Kauffman Stadium,KC,2026,left_line,347.0,8.5,LF_Dim,LF_W,source_column,available,yes,MLB.com Royals fence-change announcement,https://www.mlb.com/news/royals-moving-outfield-walls-at-kauffman-stadium,2026 update. MLB.com says wall height is 8.5 ft in most places; segment heights approximated uniformly at 8.5.
Kauffman Stadium,KC,2026,left_gap,379.0,8.5,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,MLB.com Royals fence-change announcement,https://www.mlb.com/news/royals-moving-outfield-walls-at-kauffman-stadium,2026 update. MLB.com says wall height is 8.5 ft in most places; segment heights approximated uniformly at 8.5.
Kauffman Stadium,KC,2026,center,410.0,8.5,CF_Dim,CF_W,source_column,available,yes,MLB.com Royals fence-change announcement,https://www.mlb.com/news/royals-moving-outfield-walls-at-kauffman-stadium,2026 update. MLB.com says wall height is 8.5 ft in most places; segment heights approximated uniformly at 8.5.
Kauffman Stadium,KC,2026,right_gap,379.0,8.5,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,MLB.com Royals fence-change announcement,https://www.mlb.com/news/royals-moving-outfield-walls-at-kauffman-stadium,2026 update. MLB.com says wall height is 8.5 ft in most places; segment heights approximated uniformly at 8.5.
