park,team,source_year,spray_zone5,fence_distance_ft,fence_height_ft,distance_source_column,height_source_column,value_method,height_status,usable_for_hr_detector,source_name,source_url,notes
Tropicana Field,TB,2024,center,404.0,9.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=STP01,Latest Seamheads configuration row is 2024; Rays returned to Tropicana Field for 2026.
Tropicana Field,TB,2024,right_gap,360.0,11.0,RFA_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=STP01,Latest Seamheads configuration row is 2024; Rays returned to Tropicana Field for 2026.
Tropicana Field,TB,2024,right_line,322.0,11.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=STP01,Latest Seamheads configuration row is 2024; Rays returned to Tropicana Field for 2026.
Truist Park,ATL,2025,left_line,335.0,6.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ATL03,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Truist Park,ATL,2025,left_gap,385.0,8.0,LFA_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ATL03,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Truist Park,ATL,2025,center,400.0,8.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ATL03,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Truist Park,ATL,2025,right_gap,375.0,8.0,RFA_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ATL03,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Truist Park,ATL,2025,right_line,325.0,16.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ATL03,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Wrigley Field,CHC,2025,left_line,355.0,16.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CHI11,
Wrigley Field,CHC,2025,left_gap,363.0,11.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CHI11,
Wrigley Field,CHC,2025,center,400.0,11.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CHI11,
Wrigley Field,CHC,2025,right_gap,381.0,11.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CHI11,
Wrigley Field,CHC,2025,right_line,353.0,16.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CHI11,
Yankee Stadium,NYY,2025,left_line,318.0,8.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=NYC21,
Yankee Stadium,NYY,2025,left_gap,399.0,8.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=NYC21,
Yankee Stadium,NYY,2025,center,408.0,8.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=NYC21,
Yankee Stadium,NYY,2025,right_gap,385.0,8.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=NYC21,
Yankee Stadium,NYY,2025,right_line,314.0,8.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=NYC21,
